,Brand,Model,Color,Storage,Rating,Price,Ram,Display Size,Display Type,Back Camera,Front Camera,Processor,Warranty
266,Google,Pixel 9A,Iris,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
267,Google,Pixel 8a,Obsidian,256,4.3,56999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
268,Google,Pixel 8a,Bay,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
269,Google,Pixel 9,Porcelain,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
270,Google,Pixel 6a,Chalk,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
271,Google,Pixel 6a,Charcoal,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
272,Google,Pixel 8a,Porcelain,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
273,Google,Pixel 9,Obsidian,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
274,Google,Pixel 9,Wintergreen,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
275,Google,Pixel 8a,Obsidian,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
276,Google,Pixel 10,Frost,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
277,Google,Pixel 10,Lemongrass,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
278,Google,Pixel 10,Obsidian,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
279,Google,Pixel 10,Indigo,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
280,Google,Pixel 10 Pro XL,Obsidian,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
281,Google,Pixel 10 Pro XL,Jade,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
282,Google,Pixel 10 Pro,Obsidian,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
283,Google,Pixel 10 Pro XL,Moonstone,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
284,Google,Pixel 10 Pro,Porcelain,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
285,Google,Pixel 10 Pro,Moonstone,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
